config,mechanism,target,metric,basin_mean,basin_std,plain_mean,plain_std,basin_advantage,combined_std,exceeds_noise
block_50,block,WVHT,RMSE,0.5410660320651138,0.01597639301147606,0.5340922869308512,0.0178133779824654,-0.006973745134262632,0.023928258791715794,False
mcar_10,mcar,APD,MAE,0.18123764581151924,0.0011273740072559387,0.18092341081113417,0.0007500164948164611,-0.0003142350003850769,0.001354066798475276,False
mcar_10,mcar,APD,MRE,0.030259615671966212,0.00018823263106760912,0.03020715271339186,0.0001252252680356213,-5.246295857435149e-05,0.00022608160286327557,False
mcar_10,mcar,APD,RMSE,0.2711690170836775,0.0013412037800323883,0.271129113171464,0.0010095657627090518,-3.990391221353473e-05,0.0016787050392512307,False
mcar_10,mcar,WVHT,MAE,0.06552536349173442,0.0007361473354007437,0.06601680688053313,0.0003594947744841151,0.0004914433887987096,0.0008192370794214577,False
mcar_10,mcar,WVHT,MRE,0.04636091007503954,0.0005208878140824865,0.04670866900234622,0.0002543438062457781,0.00034775892730667946,0.0005796679106481753,False
mcar_10,mcar,WVHT,RMSE,0.10449040706139039,0.0018773397170576624,0.10581812988905852,0.0008947319180709004,0.0013277228276681319,0.002079651321365429,False
mcar_30,mcar,APD,MAE,0.1981325299612607,0.0014690914224605451,0.19800509871983282,0.001270747805496674,-0.00012743124142788886,0.0019424287870400193,False
mcar_30,mcar,APD,MRE,0.03307224898584057,0.00024521869877063083,0.03305097924788128,0.00021210928224088278,-2.126973795928827e-05,0.00032422609062119576,False
mcar_30,mcar,APD,RMSE,0.2971279779553055,0.0015778207268861643,0.29732608344608763,0.0013997667139864852,0.00019810549078214112,0.0021092332966687463,False
mcar_30,mcar,WVHT,MAE,0.0712239058560819,0.0014330176512838814,0.07169159362478295,0.0011276157444976371,0.00046768776870104167,0.0018234738430068396,False
mcar_30,mcar,WVHT,MRE,0.05032107558199788,0.0010124206269167923,0.0506515038956667,0.0007966574836413671,0.00033042831366882075,0.0012882774049281411,False
mcar_30,mcar,WVHT,RMSE,0.11606351975473932,0.0030872874725866445,0.1174626446235348,0.0015857931064850517,0.0013991248687954816,0.0034707468526191795,False
mcar_50,mcar,APD,MAE,0.22792473378367642,0.0020627116023686173,0.22829946200183815,0.0015213731188149595,0.0003747282181617295,0.002563075363932724,False
mcar_50,mcar,APD,MRE,0.03804833088742925,0.0003443360785514433,0.0381108845871293,0.00025396687401036023,6.255369970004782e-05,0.00042786272107625816,False
mcar_50,mcar,APD,RMSE,0.3409825878909792,0.0016982687449688383,0.3417864509334954,0.0014734151299580101,0.0008038630425162285,0.0022483480325179227,False
mcar_50,mcar,WVHT,MAE,0.08211754781079479,0.002393057921299509,0.08262878488118401,0.0021469141057242937,0.00051123707038922,0.0032149597807829993,False
mcar_50,mcar,WVHT,MRE,0.058029292482375296,0.0016910835294305577,0.05839056437224218,0.0015171423744574375,0.00036127188986688485,0.002271890069498448,False
mcar_50,mcar,WVHT,RMSE,0.13663604409405775,0.004402897188515376,0.13835353919944512,0.00222714031549491,0.0017174951053873788,0.004934131903135482,False
station_outage_720,station_outage,APD,MAE,0.9119984620263448,0.06048687811719911,0.9403307531111059,0.10141909242529093,0.028332291084761096,0.11808681015564187,False
station_outage_720,station_outage,APD,MRE,0.13339282543127365,0.008849510197679157,0.1374764308377467,0.014756767193887277,0.00408360540647304,0.0172068593518229,False
station_outage_720,station_outage,APD,RMSE,1.2340208667390533,0.08937082992395234,1.2635104102757027,0.13790007237397398,0.029489543536649343,0.16432764588480928,False
station_outage_720,station_outage,WVHT,MAE,0.47276027649293056,0.044445240801194316,0.47440068528953655,0.032056868476021634,0.0016404087966059855,0.054799838014040675,False
station_outage_720,station_outage,WVHT,MRE,0.2626073553241012,0.023787030835513635,0.2634477525241073,0.01705137453221152,0.0008403972000061155,0.02926725490044169,False
station_outage_720,station_outage,WVHT,RMSE,0.699724480475934,0.06436788160330151,0.7117575913021267,0.04017853585888821,0.012033110826192628,0.0758784483622366,False
station_outage_full,station_outage,APD,MAE,0.726231613487824,0.03305350237481002,0.7446986311485303,0.052395503560145607,0.018467017660706353,0.06195016394298568,False
station_outage_full,station_outage,APD,MRE,0.1205915135653036,0.005516919346542559,0.12359851640025994,0.008611409148709984,0.003007002834956335,0.010227060506457443,False
station_outage_full,station_outage,APD,RMSE,1.006149058828017,0.06529171600806132,1.0293342042476201,0.10057971231804283,0.023185145419603037,0.11991366356365561,False
station_outage_full,station_outage,WVHT,MAE,0.3464032468801874,0.0071840105335863646,0.3403753760816646,0.0130012131743783,-0.006027870798522794,0.01485400792218409,False
station_outage_full,station_outage,WVHT,MRE,0.23744573446849193,0.0048210108873715934,0.23340642601156056,0.00885289191905235,-0.004039308456931373,0.010080468307900077,False
station_outage_full,station_outage,WVHT,RMSE,0.5111330311613957,0.02652352533906759,0.5095204381736309,0.022537523535200252,-0.0016125929877648382,0.03480570877761097,False
