baseline,config,mechanism,target,metric,mean,std,n_seeds
linear_interp,station_outage_full,station_outage,APD,MAE,1.303003268084771,0.16067341378103928,3
linear_interp,station_outage_full,station_outage,APD,MRE,0.21614473593910866,0.03013821949952724,3
linear_interp,station_outage_full,station_outage,APD,RMSE,1.7265359965317317,0.2912171392608394,3
linear_interp,station_outage_full,station_outage,WVHT,MAE,0.6365355214264778,0.11265833035350037,3
linear_interp,station_outage_full,station_outage,WVHT,MRE,0.43813767199842973,0.09467971779223529,3
linear_interp,station_outage_full,station_outage,WVHT,RMSE,1.0543804149330223,0.334689514175106,3
mean_fill,block_10,block,APD,MAE,0.988576466085196,0.022490780503554974,3
mean_fill,block_10,block,APD,MRE,0.16574734023511456,0.0026197858234593974,3
mean_fill,block_10,block,APD,RMSE,1.2933924297908306,0.02325772270436039,3
mean_fill,block_10,block,WVHT,MAE,0.473500161753444,0.009788742044511946,3
mean_fill,block_10,block,WVHT,MRE,0.3397780139599828,0.006332809919414686,3
mean_fill,block_10,block,WVHT,RMSE,0.6883435220083204,0.01611449518449263,3
mean_fill,block_30,block,APD,MAE,0.9690373960068793,0.014223672661911704,3
mean_fill,block_30,block,APD,MRE,0.16501214767421332,0.0010179737388002702,3
mean_fill,block_30,block,APD,RMSE,1.2554315531994475,0.01947004793078406,3
mean_fill,block_30,block,WVHT,MAE,0.4514274252045196,0.001391401917743386,3
mean_fill,block_30,block,WVHT,MRE,0.3377856797378657,0.0018018877037820997,3
mean_fill,block_30,block,WVHT,RMSE,0.657627391913771,0.004898520808543613,3
mean_fill,block_50,block,APD,MAE,0.9676448152844591,0.006714548353604039,3
mean_fill,block_50,block,APD,MRE,0.16648750343054003,0.0006210709329455669,3
mean_fill,block_50,block,APD,RMSE,1.2469895249001157,0.008328351618437728,3
mean_fill,block_50,block,WVHT,MAE,0.44487493146583956,0.0040548857340734715,3
mean_fill,block_50,block,WVHT,MRE,0.3417484210782418,0.0017556345192162536,3
mean_fill,block_50,block,WVHT,RMSE,0.6403907541383956,0.008761977109433364,3
mean_fill,mcar_10,mcar,APD,MAE,0.9982732016679746,0.004851424760253269,3
mean_fill,mcar_10,mcar,APD,MRE,0.1666723680505534,0.0007170389377742068,3
mean_fill,mcar_10,mcar,APD,RMSE,1.3047218303357022,0.004261560791444541,3
mean_fill,mcar_10,mcar,WVHT,MAE,0.4760985736760377,0.0010258303278114587,3
mean_fill,mcar_10,mcar,WVHT,MRE,0.33685157747921934,0.0004772350283289465,3
mean_fill,mcar_10,mcar,WVHT,RMSE,0.708090661186127,0.00204766483468368,3
mean_fill,mcar_30,mcar,APD,MAE,0.9974548470750023,0.00035773966267757203,3
mean_fill,mcar_30,mcar,APD,MRE,0.1664950538575941,7.530831366623227e-05,3
mean_fill,mcar_30,mcar,APD,RMSE,1.3026732520429993,6.167571769707e-05,3
mean_fill,mcar_30,mcar,WVHT,MAE,0.4762060181507562,0.0012746806344403323,3
mean_fill,mcar_30,mcar,WVHT,MRE,0.3364490693013817,0.000563648645708281,3
mean_fill,mcar_30,mcar,WVHT,RMSE,0.7071890417194308,0.001706435162007076,3
mean_fill,mcar_50,mcar,APD,MAE,0.9973538597810389,0.0010828159329101636,3
mean_fill,mcar_50,mcar,APD,MRE,0.1664920534975946,0.00015004372908385773,3
mean_fill,mcar_50,mcar,APD,RMSE,1.3024280191961557,0.0016401703542036094,3
mean_fill,mcar_50,mcar,WVHT,MAE,0.476245768575195,0.00028271649781556944,3
